self;other;geometry;edge;edge_correction
14461;15993;LINESTRING (134062.4156999998 5915048.6113, 134064.6272 5915115.2155);16999;
15996;15095;LINESTRING (134127.9013 5915171.1583, 134200.1831999999 5915164.346);14616;
15098;15095;LINESTRING (134359.6204000004 5915177.6278, 134200.1831999999 5915164.346);14617;
15494;15495;LINESTRING (134216.6162 5915423.3424, 134199.9009999996 5915556.8723);14699;
13853;15494;LINESTRING (134216.8461999996 5915342.3788, 134216.6162 5915423.3424);14700;
13856;13854;LINESTRING (134229.1084000003 5915224.4519, 134219.5976999998 5915309.011);14924;
15095;15096;LINESTRING (134200.1831999999 5915164.346, 134212.301 5915189.1332);15393;
15096;13856;LINESTRING (134212.301 5915189.1332, 134229.1084000003 5915224.4519);15394;
13854;13853;LINESTRING (134219.5976999998 5915309.011, 134216.8461999996 5915342.3788);15395;
15085;15093;LINESTRING (134335.0510999998 5914943.2165, 134272.9977000002 5915063.2546);15392;
15097;15095;LINESTRING (134235.9425999997 5915140.7132, 134200.1831999999 5915164.346);17329;
15093;15097;LINESTRING (134272.9977000002 5915063.2546, 134235.9425999997 5915140.7132);17330;
13921;15098;LINESTRING (134501.6911000004 5915179.4008, 134420.5880000005 5915179.103, 134359.6204000004 5915177.6278);16180;
15995;15994;LINESTRING (134124.8439999996 5914981.3992, 134125.9080999997 5915113.8051);15493;
14613;15990;LINESTRING (134005.4402999999 5915043.5314, 134007.4271999998 5915113.4839);16261;
15092;15089;LINESTRING (134163.0215999996 5915063.7863, 134161.6953999996 5915005.3483);15307;
15088;15094;LINESTRING (134215.0998999998 5915004.3164, 134215.4220000003 5915064.4094);15340;
15094;15093;LINESTRING (134215.4220000003 5915064.4094, 134272.9977000002 5915063.2546);15341;
15989;13346;LINESTRING (133979.5401999997 5915043.9774, 133977.3141000001 5914985.1326);15486;
15990;15997;LINESTRING (134007.4271999998 5915113.4839, 134009.4534 5915175.1075);15487;
14461;15992;LINESTRING (134062.4156999998 5915048.6113, 134061.1594000002 5914984.2196);15491;
15993;15994;LINESTRING (134064.6272 5915115.2155, 134125.9080999997 5915113.8051);15492;
16468;16469;LINESTRING (130611.4932000004 5915282.5622, 130563.4699999997 5915276.0171);14973;
16464;16463;LINESTRING (130639.5027000001 5915332.2779, 130649.9497999996 5915252.4394);14974;
16463;16462;LINESTRING (130649.9497999996 5915252.4394, 130696.8126999997 5915257.8065);14975;
16461;16450;LINESTRING (130768.4687000001 5915348.0148, 130777.9144000001 5915268.7053);14976;
16450;16445;LINESTRING (130777.9144000001 5915268.7053, 130825.7912999997 5915273.9292);14977;
16445;16446;LINESTRING (130825.7912999997 5915273.9292, 130832.2846999997 5915224.6876);14978;
16460;16447;LINESTRING (130868.3801999995 5915315.6242, 130881.1869999999 5915232.6037);14979;
16467;16449;LINESTRING (130739.7796 5915297.4797, 130750.5453000003 5915214.4652);14990;
16466;16467;LINESTRING (130692.4676000001 5915292.8239, 130739.7796 5915297.4797);14991;
16442;16441;LINESTRING (130908.3283000002 5915286.3234, 130959.2717000004 5915294.4941);14993;
16441;16456;LINESTRING (130959.2717000004 5915294.4941, 130948.5444 5915373.7161);15516;
16440;16441;LINESTRING (130969.0066999998 5915245.2021, 130959.2717000004 5915294.4941);15517;
16420;16419;LINESTRING (130553.6990999999 5915044.2873, 130606.5197000001 5915050.4411);14858;
16417;16419;LINESTRING (130705.2333000004 5915061.6149, 130606.5197000001 5915050.4411);14859;
16443;16452;LINESTRING (131012.0732000005 5915301.0786, 131007.0559 5915335.474);15280;
16471;16464;LINESTRING (130557.6544000003 5915322.4844, 130639.5027000001 5915332.2779);15137;
16403;16505;LINESTRING (130573.9423000002 5915192.9751, 130621.8486000001 5915198.6672);15141;
16505;16506;LINESTRING (130621.8486000001 5915198.6672, 130655.5273000002 5915202.8847);15142;
16507;16449;LINESTRING (130702.9391999999 5915208.8465, 130750.5453000003 5915214.4652);15143;
16446;16447;LINESTRING (130832.2846999997 5915224.6876, 130881.1869999999 5915232.6037);15144;
16438;16439;LINESTRING (130936.2248 5915189.3996, 130944.9008999998 5915241.5752);15148;
16437;16438;LINESTRING (130875.2752999999 5915180.8503, 130936.2248 5915189.3996);15149;
16434;16436;LINESTRING (130844.6304000001 5915129.1809, 130929.0639000004 5915142.6315);15150;
16428;16434;LINESTRING (130796.4839000003 5915123.54, 130844.6304000001 5915129.1809);15151;
16504;16434;LINESTRING (130850.2654999997 5915077.4134, 130844.6304000001 5915129.1809);15152;
16435;16504;LINESTRING (130932.1233999999 5915087.5306, 130850.2654999997 5915077.4134);15153;
16418;16504;LINESTRING (130731.7403999995 5915063.244, 130850.2654999997 5915077.4134);15154;
16429;16448;LINESTRING (130794.4071000004 5915139.7065, 130784.8501000004 5915218.4592);15155;
16430;16449;LINESTRING (130760.6985999998 5915136.638, 130750.5453000003 5915214.4652);15156;
16459;16460;LINESTRING (130821.7943000002 5915308.4382, 130868.3801999995 5915315.6242);14903;
16458;16459;LINESTRING (130815.3638000004 5915354.3251, 130821.7943000002 5915308.4382);14904;
16457;16442;LINESTRING (130897.6893999996 5915349.0677, 130908.3283000002 5915286.3234);14905;
16299;16471;LINESTRING (130552.2456999999 5915358.2845, 130557.6544000003 5915322.4844);15133;
16465;16466;LINESTRING (130686.7127 5915338.1686, 130692.4676000001 5915292.8239);15194;
16431;16507;LINESTRING (130711.7078 5915130.5489, 130702.9391999999 5915208.8465);15195;
16432;16506;LINESTRING (130663.3934000004 5915138.4306, 130655.5273000002 5915202.8847);15196;
16433;16505;LINESTRING (130629.5464000003 5915133.0481, 130621.8486000001 5915198.6672);15197;
16409;16403;LINESTRING (130585.3943999996 5915097.4717, 130573.9423000002 5915192.9751);15198;
15015;16409;LINESTRING (130633.4340000004 5915103.4812, 130585.3943999996 5915097.4717);15199;
16505;16468;LINESTRING (130621.8486000001 5915198.6672, 130611.4932000004 5915282.5622);15237;
16416;16417;LINESTRING (130708.8633000003 5915033.1381, 130705.2333000004 5915061.6149);15271;
16419;16411;LINESTRING (130606.5197000001 5915050.4411, 130612.0992000001 5915001.4463);15272;
16412;16413;LINESTRING (130620.2306000004 5914934.6863, 130618.1235999996 5914952.5971);14155;
16292;16440;LINESTRING (131018.0932999998 5915177.3188, 130969.0066999998 5915245.2021);18078;
16291;16292;LINESTRING (131069.0734000001 5915142.3014, 131018.0932999998 5915177.3188);18079;
16404;16469;LINESTRING (130568.6912000002 5915233.6103, 130563.4699999997 5915276.0171);16110;
16462;16507;LINESTRING (130696.8126999997 5915257.8065, 130702.9391999999 5915208.8465);16111;
